region,cell_type,n_cells,peak_vmr_ratio,integrated_excess,is_native,p_value
thalamus,17 MH-LH Glut,5278,36.41125955094677,37.49296389546596,True,1.1102230246251565e-16
isocortex,20 MB GABA,413,21.809534802560293,13.752351623323985,False,1.1102230246251565e-16
hippocampus,10 LSX GABA,140,19.332059260813878,12.731996562320667,False,1.1102230246251565e-16
thalamus,13 CNU-HYa Glut,305,18.789946441469173,11.325709807416839,False,1.1102230246251565e-16
hippocampus,18 TH Glut,318,15.960891947237489,10.785066371810704,False,1.1102230246251565e-16
isocortex,05 OB-IMN GABA,354,15.785564823221359,10.564402336405248,False,1.1102230246251565e-16
hippocampus,20 MB GABA,335,14.515007468858856,10.222845871866827,False,1.1102230246251565e-16
isocortex,19 MB Glut,239,15.508901505344888,8.379653758671619,False,1.1102230246251565e-16
hippocampus,19 MB Glut,191,11.961026274583041,7.089698958178992,False,1.1102230246251565e-16
hippocampus,04 DG-IMN Glut,35074,5.779439490753878,5.221054431727113,True,1.1102230246251565e-16
isocortex,13 CNU-HYa Glut,177,11.117650907636875,4.763494131319195,False,1.1102230246251565e-16
thalamus,20 MB GABA,1149,5.582338376966485,4.296448922298513,False,1.1102230246251565e-16
thalamus,19 MB Glut,2617,5.015747170502847,4.09126846374076,False,1.1102230246251565e-16
thalamus,14 HY Glut,84,8.591017157179255,3.77994114375364,False,1.1102230246251565e-16
isocortex,09 CNU-LGE GABA,225,6.248208292059961,3.4448527372304305,False,1.1102230246251565e-16
hippocampus,02 NP-CT-L6b Glut,18956,3.8124362838498533,3.32693837670241,True,1.1102230246251565e-16
thalamus,12 HY GABA,8157,3.897149621259695,3.197657888402597,False,1.1102230246251565e-16
hippocampus,05 OB-IMN GABA,230,3.176981757212136,1.9820470539027215,False,1.1102230246251565e-16
hippocampus,13 CNU-HYa Glut,80,4.398784593861627,1.7678819077286245,False,1.1102230246251565e-16
isocortex,03 OB-CR Glut,133,2.998896781498297,1.3298839711815345,False,1.1102230246251565e-16
isocortex,02 NP-CT-L6b Glut,131873,2.0679780067563946,1.3201789923760499,True,1.1102230246251565e-16
thalamus,11 CNU-HYa GABA,71,3.0055809950698102,1.286157877015382,False,1.1102230246251565e-16
hippocampus,03 OB-CR Glut,1452,2.205143599700312,0.9526040747997973,False,1.1102230246251565e-16
thalamus,18 TH Glut,56668,1.6509978035167734,0.7060795905607351,True,1.1102230246251565e-16
thalamus,30 Astro-Epen,19713,1.465816463129231,0.5446845038972684,True,1.1102230246251565e-16
hippocampus,31 OPC-Oligo,24132,1.3297637039568322,0.38178219947005515,True,1.1102230246251565e-16
hippocampus,01 IT-ET Glut,96399,1.3566782736708307,0.3532039715247489,True,1.1102230246251565e-16
hippocampus,08 CNU-MGE GABA,102,1.5486444132300392,0.27627038707270934,False,0.005793768262058241
isocortex,07 CTX-MGE GABA,56619,1.2293825727218872,0.27104690349319926,True,1.1102230246251565e-16
thalamus,31 OPC-Oligo,24446,1.2270908777923715,0.26279084809754083,True,1.2212453270876722e-15
hippocampus,07 CTX-MGE GABA,16076,1.2354338454828786,0.2526417649622129,True,1.1102230246251565e-16
isocortex,01 IT-ET Glut,441026,1.1995993093204735,0.23609986361363092,True,1.1102230246251565e-16
thalamus,33 Vascular,13915,1.1768694806954805,0.21781480249884252,True,3.4416913763379853e-15
isocortex,31 OPC-Oligo,55061,1.1483777006002969,0.17414958710074316,True,1.1102230246251565e-16
isocortex,08 CNU-MGE GABA,848,1.1932209188022063,0.13177779689817468,False,8.56216766953466e-06
thalamus,34 Immune,1299,1.3538334141578243,0.09777557873317329,True,0.0015001564001112522
hippocampus,06 CTX-CGE GABA,7630,1.089195246600649,0.06814806014179718,True,3.4314454688821883e-07
isocortex,06 CTX-CGE GABA,26330,1.0416496280028142,0.001984475404294476,True,1.1102230246251565e-16
hippocampus,34 Immune,5077,1.0027393157916518,-0.02397352568152574,True,0.05138463030396845
hippocampus,33 Vascular,35425,1.0970167287861299,-0.08493658595430792,True,1.1102230246251565e-16
isocortex,33 Vascular,104163,1.0287992933271566,-0.08782141506938182,True,1.1102230246251565e-16
hippocampus,30 Astro-Epen,63052,0.9469997933003665,-0.09224151991643452,True,1.1102230246251565e-16
isocortex,30 Astro-Epen,103517,0.9758097911691826,-0.11772995819764936,True,1.1102230246251565e-16
isocortex,34 Immune,15228,0.9566136223748984,-0.1784184994552364,True,3.0838148701306523e-09
